2026-01-28 07:42:43 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=1) in 1.68s
2026-01-28 07:42:43 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/triton/triton_check.py (cwd=None)
2026-01-28 07:42:44 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=1) in 0.48s
2026-01-28 11:12:27 | INFO     | run_pipeline.py:72 | Pipeline started
2026-01-28 11:12:27 | WARNING  | run_pipeline.py:73 | This is a warning
2026-01-28 11:12:27 | ERROR    | run_pipeline.py:74 | Something went wrong
2026-01-28 11:12:27 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/profiling/pytorch_profiler.py (cwd=None)
2026-01-28 11:13:06 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 38.30s
2026-01-28 11:13:06 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/onnx_export/export_to_onnx.py (cwd=None)
2026-01-28 11:18:11 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 305.60s
2026-01-28 11:18:11 | INFO     | run_pipeline.py:92 | [CMD] ls -lh /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/models (cwd=None)
2026-01-28 11:18:11 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 0.05s
2026-01-28 11:18:11 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/onnx_optim/optimize_onnx.py (cwd=None)
2026-01-28 11:19:15 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 63.42s
2026-01-28 11:19:15 | INFO     | run_pipeline.py:92 | [CMD] ls -lh /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/models (cwd=None)
2026-01-28 11:19:15 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 0.02s
